460	Vascular	0	0	27	27	30	30
1215	Vascular	0	0	149	149	150	150	
1215	Vascular	0	0	149	149	151	151	
93	Vascular	0	0	150	150	28	28	
93	Vascular	0	0	150	150	29	29	
93	Vascular	0	0	150	150	30	30	
93	Vascular	0	0	150	150	31	31	
654	Vascular	0	0	150	150	89	89	
1023	Vascular	0	0	150	150	90	90	
654	Vascular	0	0	150	150	91	91	
1215	Vascular	0	0	150	150	149	149	
1215	Vascular	0	0	150	150	150	150	
1215	Vascular	0	0	150	150	151	151	
1215	Vascular	0	0	150	150	152	152	
93	Vascular	0	0	151	151	29	29	
462	Vascular	0	0	151	151	30	30	
93	Vascular	0	0	151	151	31	31	
654	Vascular	0	0	151	151	89	89	
654	Vascular	0	0	151	151	90	90	
654	Vascular	0	0	151	151	91	91	
1215	Vascular	0	0	151	151	149	149	
1215	Vascular	0	0	151	151	150	150	
1215	Vascular	0	0	151	151	151	151	
462	Vascular	0	0	152	152	31	31	
654	Vascular	0	0	152	152	90	90	
1215	Vascular	0	0	152	152	149	149	
460	Vascular	1	1	28	28	28	28	
91	Vascular	1	1	28	28	29	29	
91	Vascular	1	1	28	28	31	31	
652	Vascular	1	1	28	28	88	88	
652	Vascular	1	1	28	28	90	90	
91	Vascular	1	1	29	29	30	30	
91	Vascular	1	1	29	29	31	31	
91	Vascular	1	1	29	29	32	32	
655	Vascular	1	1	29	29	89	89	
652	Vascular	1	1	29	29	90	90	
652	Vascular	1	1	29	29	91	91	
652	Vascular	1	1	29	29	92	92	
1213	Vascular	1	1	29	29	149	149	
1213	Vascular	1	1	29	29	150	150	
1213	Vascular	1	1	29	29	151	151	
91	Vascular	1	1	30	30	29	29	
91	Vascular	1	1	30	30	30	30	
91	Vascular	1	1	30	30	31	31	
652	Vascular	1	1	30	30	89	89	
652	Vascular	1	1	30	30	90	90	
652	Vascular	1	1	30	30	91	91	
1213	Vascular	1	1	30	30	148	148	
1213	Vascular	1	1	30	30	149	149	
1213	Vascular	1	1	30	30	150	150	
1213	Vascular	1	1	30	30	151	151	
91	Vascular	1	1	31	31	29	29	
91	Vascular	1	1	31	31	30	30	
91	Vascular	1	1	31	31	31	31	
460	Vascular	1	1	31	31	32	32	
652	Vascular	1	1	31	31	88	88	
652	Vascular	1	1	31	31	89	89	
652	Vascular	1	1	31	31	90	90	
652	Vascular	1	1	31	31	91	91	
1213	Vascular	1	1	31	31	150	150	
1213	Vascular	1	1	31	31	151	151	
652	Vascular	1	1	32	32	89	89	
652	Vascular	1	1	32	32	90	90	
652	Vascular	1	1	32	32	91	91	
1213	Vascular	1	1	32	32	149	149	
91	Vascular	1	1	33	33	30	30	
91	Vascular	1	1	33	33	32	32	
92	Vascular	1	1	88	88	31	31	
1214	Vascular	1	1	88	88	151	151	
92	Vascular	1	1	89	89	29	29	
92	Vascular	1	1	89	89	31	31	
653	Vascular	1	1	89	89	89	89	
1022	Vascular	1	1	89	89	90	90	
653	Vascular	1	1	89	89	91	91	
1214	Vascular	1	1	89	89	150	150	
1214	Vascular	1	1	89	89	151	151	
92	Vascular	1	1	90	90	29	29	
92	Vascular	1	1	90	90	31	31	
653	Vascular	1	1	90	90	86	86	
653	Vascular	1	1	90	90	88	88	
653	Vascular	1	1	90	90	89	89	
653	Vascular	1	1	90	90	90	90	
653	Vascular	1	1	90	90	91	91	
1214	Vascular	1	1	90	90	149	149	
1214	Vascular	1	1	90	90	150	150	
1214	Vascular	1	1	90	90	151	151	
1214	Vascular	1	1	90	90	152	152	
92	Vascular	1	1	91	91	30	30	
92	Vascular	1	1	91	91	31	31	
653	Vascular	1	1	91	91	88	88	
653	Vascular	1	1	91	91	89	89	
653	Vascular	1	1	91	91	90	90	
653	Vascular	1	1	91	91	91	91	
1214	Vascular	1	1	91	91	149	149	
1214	Vascular	1	1	91	91	150	150	
1214	Vascular	1	1	91	91	151	151	
92	Vascular	1	1	92	92	29	29	
92	Vascular	1	1	92	92	30	30	
653	Vascular	1	1	92	92	90	90	
1214	Vascular	1	1	92	92	150	150	
1214	Vascular	1	1	92	92	152	152	
1214	Vascular	1	1	93	93	149	149	
654	Vascular	1	1	147	147	88	88	
93	Vascular	1	1	148	148	28	28	
93	Vascular	1	1	148	148	29	29	
93	Vascular	1	1	148	148	31	31	
654	Vascular	1	1	148	148	89	89	
1215	Vascular	1	1	148	148	151	151	
96	Vascular	1	1	149	149	28	28	
93	Vascular	1	1	149	149	29	29	
93	Vascular	1	1	149	149	30	30	
93	Vascular	1	1	149	149	31	31	
654	Vascular	1	1	149	149	89	89	
654	Vascular	1	1	149	149	90	90	
654	Vascular	1	1	149	149	91	91	
654	Vascular	1	1	149	149	92	92	
1215	Vascular	1	1	149	149	148	148	
1215	Vascular	1	1	149	149	149	149	
1215	Vascular	1	1	149	149	151	151	
93	Vascular	1	1	150	150	29	29	
93	Vascular	1	1	150	150	30	30	
93	Vascular	1	1	150	150	31	31	
93	Vascular	1	1	150	150	32	32	
654	Vascular	1	1	150	150	90	90	
654	Vascular	1	1	150	150	91	91	
1215	Vascular	1	1	150	150	149	149	
1215	Vascular	1	1	150	150	150	150	
1215	Vascular	1	1	150	150	151	151	
93	Vascular	1	1	151	151	29	29	
462	Vascular	1	1	151	151	30	30	
93	Vascular	1	1	151	151	31	31	
657	Vascular	1	1	151	151	87	87	
654	Vascular	1	1	151	151	89	89	
654	Vascular	1	1	151	151	90	90	
654	Vascular	1	1	151	151	91	91	
1215	Vascular	1	1	151	151	148	148	
1218	Vascular	1	1	151	151	149	149	
1215	Vascular	1	1	151	151	150	150	
1215	Vascular	1	1	151	151	151	151	
654	Vascular	1	1	152	152	90	90	
652	Vascular	2	2	27	27	89	89	
1216	Vascular	2	2	27	27	148	148	
655	Vascular	2	2	28	28	88	88	
652	Vascular	2	2	28	28	91	91	
1216	Vascular	2	2	28	28	149	149	
91	Vascular	2	2	29	29	29	29	
91	Vascular	2	2	29	29	30	30	
91	Vascular	2	2	29	29	31	31	
652	Vascular	2	2	29	29	89	89	
652	Vascular	2	2	29	29	90	90	
652	Vascular	2	2	29	29	91	91	
1216	Vascular	2	2	29	29	149	149	
1213	Vascular	2	2	29	29	150	150	
1213	Vascular	2	2	29	29	151	151	
91	Vascular	2	2	30	30	29	29	
91	Vascular	2	2	30	30	30	30	
652	Vascular	2	2	30	30	89	89	
655	Vascular	2	2	30	30	90	90	
652	Vascular	2	2	30	30	91	91	
1213	Vascular	2	2	30	30	149	149	
1216	Vascular	2	2	30	30	150	150	
1213	Vascular	2	2	30	30	151	151	
94	Vascular	2	2	31	31	28	28	
91	Vascular	2	2	31	31	29	29	
91	Vascular	2	2	31	31	30	30	
91	Vascular	2	2	31	31	31	31	
652	Vascular	2	2	31	31	89	89	
652	Vascular	2	2	31	31	90	90	
652	Vascular	2	2	31	31	91	91	
652	Vascular	2	2	31	31	92	92	
1213	Vascular	2	2	31	31	147	147	
1213	Vascular	2	2	31	31	149	149	
1216	Vascular	2	2	31	31	150	150	
1213	Vascular	2	2	31	31	151	151	
91	Vascular	2	2	32	32	31	31	
91	Vascular	2	2	32	32	32	32	
652	Vascular	2	2	32	32	91	91	
1213	Vascular	2	2	32	32	149	149	
1213	Vascular	2	2	32	32	151	151	
653	Vascular	2	2	88	88	90	90	
92	Vascular	2	2	89	89	29	29	
92	Vascular	2	2	89	89	30	30	
92	Vascular	2	2	89	89	31	31	
92	Vascular	2	2	89	89	32	32	
653	Vascular	2	2	89	89	90	90	
653	Vascular	2	2	89	89	91	91	
1214	Vascular	2	2	89	89	148	148	
1214	Vascular	2	2	89	89	149	149	
1214	Vascular	2	2	89	89	150	150	
1214	Vascular	2	2	89	89	151	151	
1214	Vascular	2	2	89	89	152	152	
92	Vascular	2	2	90	90	29	29	
92	Vascular	2	2	90	90	30	30	
92	Vascular	2	2	90	90	31	31	
653	Vascular	2	2	90	90	87	87	
653	Vascular	2	2	90	90	89	89	
656	Vascular	2	2	90	90	90	90	
656	Vascular	2	2	90	90	92	92	
1214	Vascular	2	2	90	90	149	149	
1214	Vascular	2	2	90	90	150	150	
1214	Vascular	2	2	90	90	152	152	
92	Vascular	2	2	91	91	29	29	
92	Vascular	2	2	91	91	30	30	
92	Vascular	2	2	91	91	31	31	
92	Vascular	2	2	91	91	32	32	
653	Vascular	2	2	91	91	89	89	
653	Vascular	2	2	91	91	91	91	
1214	Vascular	2	2	91	91	149	149	
1217	Vascular	2	2	91	91	150	150	
1214	Vascular	2	2	91	91	151	151	
653	Vascular	2	2	92	92	90	90	
656	Vascular	2	2	92	92	92	92	
654	Vascular	2	2	148	148	88	88	
654	Vascular	2	2	148	148	90	90	
93	Vascular	2	2	149	149	29	29	
96	Vascular	2	2	149	149	30	30	
93	Vascular	2	2	149	149	31	31	
657	Vascular	2	2	149	149	87	87	
654	Vascular	2	2	149	149	89	89	
654	Vascular	2	2	149	149	90	90	
654	Vascular	2	2	149	149	91	91	
1215	Vascular	2	2	149	149	149	149	
1215	Vascular	2	2	149	149	150	150	
1215	Vascular	2	2	149	149	151	151	
93	Vascular	2	2	150	150	28	28	
96	Vascular	2	2	150	150	29	29	
93	Vascular	2	2	150	150	30	30	
93	Vascular	2	2	150	150	31	31	
96	Vascular	2	2	150	150	32	32	
654	Vascular	2	2	150	150	89	89	
654	Vascular	2	2	150	150	90	90	
654	Vascular	2	2	150	150	91	91	
1218	Vascular	2	2	150	150	148	148	
1215	Vascular	2	2	150	150	149	149	
1215	Vascular	2	2	150	150	150	150	
1215	Vascular	2	2	150	150	151	151	
93	Vascular	2	2	151	151	28	28	
93	Vascular	2	2	151	151	29	29	
93	Vascular	2	2	151	151	30	30	
93	Vascular	2	2	151	151	31	31	
93	Vascular	2	2	151	151	32	32	
657	Vascular	2	2	151	151	88	88	
654	Vascular	2	2	151	151	89	89	
657	Vascular	2	2	151	151	90	90	
654	Vascular	2	2	151	151	91	91	
1218	Vascular	2	2	151	151	149	149	
1215	Vascular	2	2	151	151	150	150	
1215	Vascular	2	2	151	151	151	151	
96	Vascular	2	2	152	152	29	29	
96	Vascular	2	2	152	152	30	30	
1218	Vascular	2	2	152	152	149	149	
1215	Vascular	2	2	152	152	152	152	
655	Vascular	3	3	27	27	89	89	
655	Vascular	3	3	28	28	89	89	
94	Vascular	3	3	29	29	28	28	
94	Vascular	3	3	29	29	29	29	
94	Vascular	3	3	29	29	30	30	
91	Vascular	3	3	29	29	31	31	
655	Vascular	3	3	29	29	88	88	
655	Vascular	3	3	29	29	90	90	
652	Vascular	3	3	29	29	91	91	
1216	Vascular	3	3	29	29	149	149	
1213	Vascular	3	3	29	29	150	150	
1216	Vascular	3	3	29	29	151	151	
94	Vascular	3	3	30	30	28	28	
94	Vascular	3	3	30	30	29	29	
91	Vascular	3	3	30	30	30	30	
91	Vascular	3	3	30	30	31	31	
91	Vascular	3	3	30	30	32	32	
655	Vascular	3	3	30	30	89	89	
655	Vascular	3	3	30	30	91	91	
1216	Vascular	3	3	30	30	147	147	
1216	Vascular	3	3	30	30	148	148	
1216	Vascular	3	3	30	30	149	149	
1216	Vascular	3	3	30	30	150	150	
1216	Vascular	3	3	30	30	151	151	
94	Vascular	3	3	31	31	29	29	
94	Vascular	3	3	31	31	30	30	
94	Vascular	3	3	31	31	31	31	
91	Vascular	3	3	31	31	32	32	
655	Vascular	3	3	31	31	88	88	
655	Vascular	3	3	31	31	89	89	
652	Vascular	3	3	31	31	90	90	
655	Vascular	3	3	31	31	91	91	
1216	Vascular	3	3	31	31	149	149	
1216	Vascular	3	3	31	31	150	150	
1216	Vascular	3	3	31	31	151	151	
652	Vascular	3	3	32	32	92	92	
1216	Vascular	3	3	32	32	151	151	
1213	Vascular	3	3	32	32	152	152	
653	Vascular	3	3	88	88	89	89	
1214	Vascular	3	3	88	88	151	151	
1214	Vascular	3	3	88	88	152	152	
95	Vascular	3	3	89	89	29	29	
95	Vascular	3	3	89	89	30	30	
95	Vascular	3	3	89	89	31	31	
653	Vascular	3	3	89	89	89	89	
656	Vascular	3	3	89	89	90	90	
656	Vascular	3	3	89	89	91	91	
1217	Vascular	3	3	89	89	149	149	
1214	Vascular	3	3	89	89	150	150	
1217	Vascular	3	3	89	89	151	151	
95	Vascular	3	3	90	90	27	27	
95	Vascular	3	3	90	90	29	29	
95	Vascular	3	3	90	90	30	30	
92	Vascular	3	3	90	90	31	31	
656	Vascular	3	3	90	90	89	89	
656	Vascular	3	3	90	90	90	90	
656	Vascular	3	3	90	90	91	91	
1214	Vascular	3	3	90	90	149	149	
1217	Vascular	3	3	90	90	150	150	
1217	Vascular	3	3	90	90	151	151	
92	Vascular	3	3	91	91	29	29	
95	Vascular	3	3	91	91	30	30	
95	Vascular	3	3	91	91	31	31	
656	Vascular	3	3	91	91	89	89	
656	Vascular	3	3	91	91	90	90	
656	Vascular	3	3	91	91	91	91	
653	Vascular	3	3	91	91	92	92	
1217	Vascular	3	3	91	91	149	149	
1217	Vascular	3	3	91	91	150	150	
1217	Vascular	3	3	91	91	151	151	
95	Vascular	3	3	92	92	29	29	
95	Vascular	3	3	92	92	32	32	
1217	Vascular	3	3	92	92	149	149	
1217	Vascular	3	3	92	92	151	151	
93	Vascular	3	3	147	147	29	29	
93	Vascular	3	3	148	148	29	29	
657	Vascular	3	3	148	148	88	88	
654	Vascular	3	3	148	148	89	89	
1218	Vascular	3	3	148	148	150	150	
96	Vascular	3	3	149	149	29	29	
93	Vascular	3	3	149	149	30	30	
96	Vascular	3	3	149	149	31	31	
657	Vascular	3	3	149	149	88	88	
657	Vascular	3	3	149	149	89	89	
657	Vascular	3	3	149	149	90	90	
657	Vascular	3	3	149	149	91	91	
1218	Vascular	3	3	149	149	149	149	
1218	Vascular	3	3	149	149	151	151	
1218	Vascular	3	3	149	149	152	152	
93	Vascular	3	3	150	150	29	29	
96	Vascular	3	3	150	150	30	30	
96	Vascular	3	3	150	150	31	31	
657	Vascular	3	3	150	150	89	89	
657	Vascular	3	3	150	150	90	90	
657	Vascular	3	3	150	150	91	91	
654	Vascular	3	3	150	150	92	92	
1218	Vascular	3	3	150	150	148	148	
1218	Vascular	3	3	150	150	149	149	
1218	Vascular	3	3	150	150	150	150	
1218	Vascular	3	3	150	150	151	151	
96	Vascular	3	3	151	151	29	29	
96	Vascular	3	3	151	151	31	31	
657	Vascular	3	3	151	151	89	89	
657	Vascular	3	3	151	151	90	90	
657	Vascular	3	3	151	151	91	91	
654	Vascular	3	3	151	151	92	92	
1215	Vascular	3	3	151	151	148	148	
1218	Vascular	3	3	151	151	149	149	
1218	Vascular	3	3	151	151	150	150	
1218	Vascular	3	3	151	151	151	151	
93	Vascular	3	3	152	152	28	28	
93	Vascular	3	3	152	152	29	29	
96	Vascular	3	3	152	152	30	30	
1218	Vascular	3	3	152	152	149	149	
96	Vascular	3	3	153	153	29	29	
1215	Vascular	3	3	153	153	153	153	
1213	Vascular	4	4	28	28	149	149	
94	Vascular	4	4	29	29	29	29	
94	Vascular	4	4	29	29	31	31	
655	Vascular	4	4	29	29	89	89	
655	Vascular	4	4	29	29	90	90	
655	Vascular	4	4	29	29	91	91	
1216	Vascular	4	4	29	29	149	149	
1216	Vascular	4	4	29	29	150	150	
1216	Vascular	4	4	29	29	151	151	
94	Vascular	4	4	30	30	28	28	
94	Vascular	4	4	30	30	29	29	
94	Vascular	4	4	30	30	30	30	
94	Vascular	4	4	30	30	31	31	
94	Vascular	4	4	30	30	32	32	
655	Vascular	4	4	30	30	89	89	
655	Vascular	4	4	30	30	90	90	
655	Vascular	4	4	30	30	91	91	
655	Vascular	4	4	30	30	92	92	
1216	Vascular	4	4	30	30	150	150	
1216	Vascular	4	4	30	30	151	151	
94	Vascular	4	4	31	31	28	28	
94	Vascular	4	4	31	31	29	29	
94	Vascular	4	4	31	31	30	30	
94	Vascular	4	4	31	31	31	31	
655	Vascular	4	4	31	31	88	88	
655	Vascular	4	4	31	31	90	90	
655	Vascular	4	4	31	31	91	91	
1216	Vascular	4	4	31	31	149	149	
1216	Vascular	4	4	31	31	150	150	
1216	Vascular	4	4	31	31	151	151	
94	Vascular	4	4	32	32	29	29	
94	Vascular	4	4	32	32	31	31	
1213	Vascular	4	4	32	32	153	153	
1214	Vascular	4	4	87	87	151	151	
656	Vascular	4	4	88	88	89	89	
1217	Vascular	4	4	88	88	149	149	
1214	Vascular	4	4	88	88	150	150	
95	Vascular	4	4	89	89	29	29	
95	Vascular	4	4	89	89	30	30	
95	Vascular	4	4	89	89	31	31	
656	Vascular	4	4	89	89	89	89	
656	Vascular	4	4	89	89	90	90	
656	Vascular	4	4	89	89	91	91	
656	Vascular	4	4	89	89	92	92	
1217	Vascular	4	4	89	89	148	148	
1217	Vascular	4	4	89	89	150	150	
1220	Vascular	4	4	89	89	151	151	
95	Vascular	4	4	90	90	28	28	
95	Vascular	4	4	90	90	29	29	
95	Vascular	4	4	90	90	30	30	
95	Vascular	4	4	90	90	31	31	
656	Vascular	4	4	90	90	87	87	
656	Vascular	4	4	90	90	88	88	
656	Vascular	4	4	90	90	90	90	
656	Vascular	4	4	90	90	91	91	
1217	Vascular	4	4	90	90	149	149	
1217	Vascular	4	4	90	90	150	150	
95	Vascular	4	4	91	91	29	29	
95	Vascular	4	4	91	91	30	30	
656	Vascular	4	4	91	91	89	89	
656	Vascular	4	4	91	91	90	90	
653	Vascular	4	4	91	91	93	93	
1217	Vascular	4	4	91	91	149	149	
1217	Vascular	4	4	91	91	150	150	
1217	Vascular	4	4	91	91	151	151	
98	Vascular	4	4	92	92	29	29	
656	Vascular	4	4	92	92	89	89	
1217	Vascular	4	4	92	92	150	150	
93	Vascular	4	4	148	148	30	30	
96	Vascular	4	4	149	149	29	29	
96	Vascular	4	4	149	149	30	30	
96	Vascular	4	4	149	149	31	31	
657	Vascular	4	4	149	149	89	89	
660	Vascular	4	4	149	149	90	90	
657	Vascular	4	4	149	149	91	91	
1218	Vascular	4	4	149	149	149	149	
1218	Vascular	4	4	149	149	150	150	
96	Vascular	4	4	150	150	28	28	
96	Vascular	4	4	150	150	29	29	
96	Vascular	4	4	150	150	30	30	
96	Vascular	4	4	150	150	31	31	
657	Vascular	4	4	150	150	90	90	
657	Vascular	4	4	150	150	91	91	
1218	Vascular	4	4	150	150	149	149	
1218	Vascular	4	4	150	150	150	150	
1218	Vascular	4	4	150	150	151	151	
96	Vascular	4	4	151	151	29	29	
96	Vascular	4	4	151	151	30	30	
657	Vascular	4	4	151	151	89	89	
657	Vascular	4	4	151	151	90	90	
657	Vascular	4	4	151	151	91	91	
657	Vascular	4	4	151	151	92	92	
1218	Vascular	4	4	151	151	149	149	
1218	Vascular	4	4	151	151	150	150	
1218	Vascular	4	4	151	151	152	152	
96	Vascular	4	4	152	152	29	29	
96	Vascular	4	4	152	152	32	32	
657	Vascular	4	4	152	152	90	90	
1216	Vascular	5	5	28	28	152	152	
94	Vascular	5	5	29	29	28	28	
97	Vascular	5	5	29	29	29	29	
94	Vascular	5	5	29	29	30	30	
94	Vascular	5	5	29	29	31	31	
655	Vascular	5	5	29	29	89	89	
655	Vascular	5	5	29	29	91	91	
1216	Vascular	5	5	29	29	148	148	
1219	Vascular	5	5	29	29	149	149	
1219	Vascular	5	5	29	29	150	150	
1216	Vascular	5	5	29	29	151	151	
94	Vascular	5	5	30	30	28	28	
94	Vascular	5	5	30	30	29	29	
94	Vascular	5	5	30	30	30	30	
94	Vascular	5	5	30	30	32	32	
94	Vascular	5	5	30	30	34	34	
655	Vascular	5	5	30	30	89	89	
655	Vascular	5	5	30	30	90	90	
655	Vascular	5	5	30	30	91	91	
655	Vascular	5	5	30	30	92	92	
1216	Vascular	5	5	30	30	149	149	
1219	Vascular	5	5	30	30	150	150	
1216	Vascular	5	5	30	30	152	152	
94	Vascular	5	5	31	31	29	29	
94	Vascular	5	5	31	31	31	31	
655	Vascular	5	5	31	31	89	89	
658	Vascular	5	5	31	31	90	90	
655	Vascular	5	5	31	31	91	91	
1216	Vascular	5	5	31	31	149	149	
1216	Vascular	5	5	31	31	150	150	
1216	Vascular	5	5	31	31	151	151	
94	Vascular	5	5	32	32	30	30	
655	Vascular	5	5	32	32	89	89	
1219	Vascular	5	5	32	32	151	151	
656	Vascular	5	5	88	88	89	89	
1220	Vascular	5	5	88	88	148	148	
1220	Vascular	5	5	88	88	150	150	
1220	Vascular	5	5	88	88	151	151	
98	Vascular	5	5	89	89	27	27	
95	Vascular	5	5	89	89	28	28	
95	Vascular	5	5	89	89	29	29	
95	Vascular	5	5	89	89	30	30	
95	Vascular	5	5	89	89	31	31	
659	Vascular	5	5	89	89	88	88	
656	Vascular	5	5	89	89	89	89	
656	Vascular	5	5	89	89	90	90	
656	Vascular	5	5	89	89	91	91	
656	Vascular	5	5	89	89	92	92	
1217	Vascular	5	5	89	89	149	149	
1217	Vascular	5	5	89	89	150	150	
1217	Vascular	5	5	89	89	151	151	
95	Vascular	5	5	90	90	28	28	
95	Vascular	5	5	90	90	29	29	
95	Vascular	5	5	90	90	30	30	
656	Vascular	5	5	90	90	89	89	
656	Vascular	5	5	90	90	90	90	
656	Vascular	5	5	90	90	91	91	
1217	Vascular	5	5	90	90	149	149	
1220	Vascular	5	5	90	90	150	150	
1217	Vascular	5	5	90	90	151	151	
95	Vascular	5	5	91	91	29	29	
98	Vascular	5	5	91	91	30	30	
95	Vascular	5	5	91	91	31	31	
659	Vascular	5	5	91	91	89	89	
659	Vascular	5	5	91	91	90	90	
656	Vascular	5	5	91	91	91	91	
1217	Vascular	5	5	91	91	149	149	
1220	Vascular	5	5	91	91	150	150	
1217	Vascular	5	5	91	91	151	151	
98	Vascular	5	5	92	92	30	30	
95	Vascular	5	5	92	92	31	31	
656	Vascular	5	5	92	92	90	90	
96	Vascular	5	5	148	148	29	29	
1221	Vascular	5	5	148	148	148	148	
1221	Vascular	5	5	148	148	151	151	
96	Vascular	5	5	149	149	29	29	
96	Vascular	5	5	149	149	30	30	
96	Vascular	5	5	149	149	31	31	
657	Vascular	5	5	149	149	89	89	
660	Vascular	5	5	149	149	90	90	
660	Vascular	5	5	149	149	91	91	
657	Vascular	5	5	149	149	92	92	
1221	Vascular	5	5	149	149	148	148	
1218	Vascular	5	5	149	149	149	149	
1218	Vascular	5	5	149	149	150	150	
1218	Vascular	5	5	149	149	151	151	
96	Vascular	5	5	150	150	30	30	
96	Vascular	5	5	150	150	31	31	
657	Vascular	5	5	150	150	89	89	
657	Vascular	5	5	150	150	90	90	
660	Vascular	5	5	150	150	91	91	
660	Vascular	5	5	150	150	92	92	
1221	Vascular	5	5	150	150	149	149	
1221	Vascular	5	5	150	150	150	150	
1218	Vascular	5	5	150	150	151	151	
96	Vascular	5	5	151	151	28	28	
96	Vascular	5	5	151	151	29	29	
96	Vascular	5	5	151	151	30	30	
96	Vascular	5	5	151	151	31	31	
657	Vascular	5	5	151	151	89	89	
660	Vascular	5	5	151	151	90	90	
657	Vascular	5	5	151	151	91	91	
1218	Vascular	5	5	151	151	149	149	
1218	Vascular	5	5	151	151	150	150	
1218	Vascular	5	5	151	151	151	151	
96	Vascular	5	5	152	152	30	30	
94	Vascular	6	6	28	28	30	30	
97	Vascular	6	6	29	29	29	29	
100	Vascular	6	6	29	29	30	30	
97	Vascular	6	6	29	29	31	31	
658	Vascular	6	6	29	29	89	89	
658	Vascular	6	6	29	29	91	91	
1219	Vascular	6	6	29	29	149	149	
1219	Vascular	6	6	29	29	151	151	
97	Vascular	6	6	30	30	29	29	
97	Vascular	6	6	30	30	30	30	
97	Vascular	6	6	30	30	31	31	
97	Vascular	6	6	30	30	32	32	
658	Vascular	6	6	30	30	88	88	
655	Vascular	6	6	30	30	90	90	
